Call of Duty 2 (PC) ; 2,167 hr
Counter-Strike: Global Offensive (PC) ; 859 hr
Heroes of the Storm (PC) ; 477 hr
World of Warcraft (PC) ; 439 hr
Call of Duty: United Offensive (PC) ; 296 hr
Battlefield 2142 (PC) ; 229 hr
Overwatch (PC) ; 224 hr
Battlefield 4 (PC) ; 203 hr
Counter-Strike: Source (PC) ; 169 hr
Call of Duty 4: Modern Warfare (PC) ; 132 hr
Fallout: New Vegas (PC) ; 128 hr
Dragon Age: Origins (PC) ; 100 hr
Diablo III (PC) ; 78 hr
XCOM: Enemy Unknown (PC) ; 53 hr
Dying Light (PC) ; 50 hr
Pro Evolution Soccer 6 (PC) ; 44 hr
Star Wars: Knights of the Old Republic (PC) ; 44 hr
Battlefield 1 (PC) ; 40 hr
The Witcher 2 (PC) ; 38 hr
Saints Row: The Third (PC) ; 35 hr
Sacred (PC) ; 35 hr
Mass Effect (PC) ; 33 hr
Call of Duty: Black Ops (PC) ; 33 hr
NBA Live 08 (PC) ; 32 hr
Batman: Arkham City (PC) ; 32 hr
Grand Theft Auto: San Andreas (PC) ; 31 hr
Batman: Arkham Asylum GOTY (PC) ; 31 hr
Bioshock (PC) ; 31 hr
Mass Effect 3 (PC) ; 30 hr
Titan Quest: Immortal Throne (PC) ; 30 hr
Team Fortress 2 (PC) ; 29 hr
War Thunder (PC) ; 28 hr
Dead Space (PC) ; 27 hr
Far Cry 3 (PC) ; 25 hr
Doom 3 (PC) ; 24 hr
Half-Life 2 (PC) ; 24 hr
Battlefield 3 (PC) ; 23 hr
Guild Wars 2 (PC) ; 22 hr
Batman: Arkham Asylum (PC) ; 22 hr
Left 4 Dead (PC) ; 21 hr
Need for Speed World (PC) ; 21 hr
Dark Messiah of Might & Magic (PC) ; 21 hr
The Bureau: XCOM Declassified (PC) ; 21 hr
Garry's Mod (PC) ; 21 hr
Awesomenauts (PC) ; 20 hr
Call of Duty: Modern Warfare 3 (PC) ; 20 hr
BioShock Infinite (PC) ; 20 hr
ArmA III (PC) ; 20 hr
Castlevania: Lords of Shadow (PC) ; 19 hr
Max Payne 3 (PC) ; 19 hr
Carom 3D (PC) ; 18 hr
Just Cause 2 (PC) ; 18 hr
Fallout 3 (PC) ; 18 hr
Tom Clancy's Splinter Cell: Conviction (PC) ; 18 hr
Resident Evil 4 (PC) ; 17 hr
Pro Evolution Soccer 5 (PC) ; 17 hr
Alan Wake (PC) ; 17 hr
Left 4 Dead 2 (PC) ; 16 hr
The Lord of the Rings: The Battle for Middle-Earth (PC) ; 16 hr
Tom Clancy's Splinter Cell: Chaos Theory (PC) ; 16 hr
Company of Heroes (PC) ; 16 hr
Devil May Cry 4 (PC) ; 15 hr
Tomb Raider (PC) ; 14 hr
Grand Theft Auto V (PC) ; 14 hr
Wolfenstein: The New Order (PC) ; 14 hr
Metal Gear Solid 2: Substance (PC) ; 14 hr
Resident Evil 6 (PC) ; 14 hr
Max Payne 2: The Fall of Max Payne (PC) ; 14 hr
Dead Island: Riptide (PC) ; 13 hr
Prince of Persia: Warrior Within (PC) ; 13 hr
Mass Effect 2 (PC) ; 13 hr
Middle-Earth: Shadow of Mordor (PC) ; 13 hr
F.E.A.R.: First Encounter Assault Recon (PC) ; 12 hr
Gears of War (PC) ; 12 hr
Dead Space 3 (PC) ; 12 hr
The Lord of the Rings: Battle for Middle Earth II (PC) ; 12 hr
Star Wars Knights of the Old Republic 2: The Sith Lords (PC) ; 12 hr
Tom Clancy's Splinter Cell Double Agent (PC) ; 12 hr
Remember Me (PC) ; 12 hr
Assassin's Creed (PC) ; 12 hr
Rocket League (PC) ; 11 hr
Brothers In Arms: Earned in Blood (PC) ; 11 hr
Neverwinter Nights 2 (PC) ; 11 hr
The Matrix: Path of Neo (PC) ; 11 hr
Command & Conquer 3: Tiberium Wars (PC) ; 11 hr
Far Cry (PC) ; 11 hr
Shadow Warrior (PC) ; 11 hr
Grand Theft Auto III (PC) ; 11 hr
Indigo Prophecy (PC) ; 10 hr
Black & White 2 (PC) ; 10 hr
Tom Clancy's Splinter Cell (PC) ; 10 hr
Crysis 2 (PC) ; 10 hr
Trials Evolution: Gold Edition (PC) ; 10 hr
Dead Effect (PC) ; 10 hr
Half-Life (PC) ; 9 hr
Prince of Persia: The Two Thrones (PC) ; 9 hr
Soldat (PC) ; 9 hr
Crysis (PC) ; 9 hr
Virtua Tennis 3 (PC) ; 9 hr
Deus Ex: Invisible War (PC) ; 9 hr
Bastion (PC) ; 9 hr
Fallout 4 (PC) ; 9 hr
Dead Island (PC) ; 9 hr
Portal 2 (PC) ; 8 hr
Prince of Persia: The Forgotten Sands (PC) ; 8 hr
Singularity (PC) ; 8 hr
Harry Potter and the Order of the Phoenix (PC) ; 8 hr
Far Cry 2 (PC) ; 8 hr
Terraria (PC) ; 8 hr
FIFA World (PC) ; 8 hr
Alan Wake's American Nightmare (PC) ; 8 hr
Company of Heroes 2 (PC) ; 7 hr
Half-Life 2: Episode One (PC) ; 7 hr
Max Payne (PC) ; 7 hr
FIFA Soccer 07 (PC) ; 7 hr
F.E.A.R. 2: Project Origin (PC) ; 7 hr
Far Cry 3: Blood Dragon (PC) ; 7 hr
Titanfall (PC) ; 7 hr
Sacred 2 Gold (PC) ; 7 hr
F.3.A.R. (PC) ; 7 hr
Killing Floor (PC) ; 7 hr
Torchlight II (PC) ; 7 hr
Spore (PC) ; 6 hr
Tom Clancy\u2019s Splinter Cell: Blacklist (PC) ; 6 hr
Bioshock 2 (PC) ; 6 hr
Tom Clancy's Splinter Cell: Pandora Tomorrow (PC) ; 6 hr
TimeShift (PC) ; 6 hr
Mirror's Edge (PC) ; 6 hr
Hard Reset (PC) ; 6 hr
Insurgency: Modern Infantry Combat (PC) ; 6 hr
The Elder Scrolls V: Skyrim (PC) ; 5 hr
Portal (PC) ; 5 hr
Spec Ops: The Line (PC) ; 5 hr
Painkiller: Overdose (PC) ; 5 hr
Battlefield Heroes (PC) ; 5 hr
Star Wars: Republic Commando (PC) ; 5 hr
Champions Online (PC) ; 5 hr
Guild Wars (PC) ; 5 hr
Medal of Honor: Pacific Assault (PC) ; 5 hr
Dead Space 2 (PC) ; 5 hr
